what,kind,bundleId,bundleVersion,description,time
error,log,,,"Part already exists in page layout: org.eclipse.ui.navigator.ProjectExplorer.",1377695453677
opened,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1377695454058
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1377695454234
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.JavaPerspective",1377695454279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1377695454398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1377695454398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695470271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377695476675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695479217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695503695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1377695504004
error,log,,,"Unhandled event loop exception",1377695512868
error,log,,,"Unhandled event loop exception",1377695512884
error,log,,,"Unhandled event loop exception",1377695512892
error,log,,,"Unhandled event loop exception",1377695514752
error,log,,,"Unhandled event loop exception",1377695514894
error,log,,,"Unhandled event loop exception",1377695515177
error,log,,,"Unhandled event loop exception",1377695515264
error,log,,,"Unhandled event loop exception",1377695515906
error,log,,,"Unhandled event loop exception",1377695516395
error,log,,,"Unhandled event loop exception",1377695517188
error,log,,,"Unhandled event loop exception",1377695517448
error,log,,,"Unhandled event loop exception",1377695517661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377695520419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1377695528297
